ItemSection,Row,Column,Cell,UpgradeSection,Kit,KitName,Tier
army_nosorog_outfit,1,1,1,up_sect_firsta_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,1,2,1,up_sect_firstc_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,1,2,2,up_sect_firstd_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,1,3,1,up_sect_firste_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,1,3,2,up_sect_firstf_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,2,1,1,up_sect_secona_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,2,2,1,up_sect_seconc_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,2,2,2,up_sect_second_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,2,3,1,up_sect_secone_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,2,3,2,up_sect_seconf_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,3,1,1,up_sect_thirda_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,3,2,1,up_sect_thirdc_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,3,3,1,up_sect_thirde_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,4,1,1,up_sect_fourta_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,4,2,1,up_sect_fourtc_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,4,2,2,up_sect_fourtd_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
army_nosorog_outfit,4,3,1,up_sect_fourte_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,4,3,2,up_sect_fourtf_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,5,1,1,up_sect_fiftha_nosorog_1,upgr_o_3_utility,st_upgr_o_utility,3
army_nosorog_outfit,5,2,1,up_sect_fifthc_nosorog_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,5,2,2,up_sect_fifthd_nosorog_1,upgr_o_3_magical,st_upgr_o_magical,3
army_nosorog_outfit,5,3,1,up_sect_fifthe_nosorog_1,upgr_o_3_utility,st_upgr_o_utility,3
army_outfit,1,1,1,up_sect_firsta_novice_1,upgr_o_1_physical,st_upgr_o_physical,1
army_outfit,1,2,1,up_sect_firstc_novice_1,upgr_o_1_physical,st_upgr_o_physical,1
army_outfit,1,3,1,up_sect_firste_novice_1,upgr_o_1_physical,st_upgr_o_physical,1
army_outfit,2,1,1,up_sect_secona_novice_1,upgr_o_1_magical,st_upgr_o_magical,1
army_outfit,2,2,1,up_sect_seconc_novice_1,upgr_o_1_magical,st_upgr_o_magical,1
army_outfit,2,2,2,up_sect_second_novice_1,upgr_o_1_magical,st_upgr_o_magical,1
army_outfit,3,1,1,up_sect_thirda_novice_1,upgr_o_1_utility,st_upgr_o_utility,1
bandit_exo_outfit,1,1,1,up_sect_firsta_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,1,2,1,up_sect_firstc_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,1,2,2,up_sect_firstd_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,1,3,1,up_sect_firste_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,1,3,2,up_sect_firstf_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,2,1,1,up_sect_secona_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,2,2,1,up_sect_seconc_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,2,2,2,up_sect_second_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,2,3,1,up_sect_secone_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,2,3,2,up_sect_seconf_exolight_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,3,1,1,up_sect_thirda_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,3,2,1,up_sect_thirdc_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,3,3,1,up_sect_thirde_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,4,1,1,up_sect_fourta_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,4,2,1,up_sect_fourtc_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,4,2,2,up_sect_fourtd_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exo_outfit,4,3,1,up_sect_fourte_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,4,3,2,up_sect_fourtf_exolight_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,5,1,1,up_sect_fiftha_exo_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exo_outfit,5,2,1,up_sect_fifthc_exo_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,5,2,2,up_sect_fifthd_exo_1,upgr_o_3_magical,st_upgr_o_magical,3
bandit_exo_outfit,5,3,1,up_sect_fifthe_exo_1,upgr_o_3_utility,st_upgr_o_utility,3
bandit_exolight_outfit,1,1,1,up_sect_firsta_exolight_1,upgr_o_2_physical,st_upgr_o_physical,2
bandit_exolight_outfit,1,2,1,up_sect_firstc_exolight_1,upgr_o_2_physical,st_upgr_o_physical,2
bandit_exolight_outfit,1,2,2,up_sect_firstd_exolight_1,upgr_o_2_physical,st_upgr_o_physical,2
bandit_exolight_outfit,1,3,1,up_sect_firste_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exolight_outfit,1,3,2,up_sect_firstf_exolight_1,upgr_o_3_physical,st_upgr_o_physical,3
bandit_exolight_outfit,2,1,1,up_sect_secona_exolight_1,upgr_o_2_magical,st_upgr_o_magical,2
bandit_exolight_outfit,2,2,1,up_sect_seconc_exolight_1,upgr_o_2_magical,st_upgr_o_magical,2
bandit_exolight_outfit,2,2,2,up_sect_second_exolight_1,upgr_o_2_magical,st_upgr_o_magical,2
