~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
ac10632,1,1
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
aim_2k,1,1
aim_acro,1,1
aim_low,1,1
aimpoint,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_12x76_zhekan,8,1
ammo_20x70_buck,8,1
ammo_357_hp_mag,6,1
ammo_5.56x45_fmj,2,0.85
ammo_5.7x28_ss190,3,0.85
ammo_5.7x28_ss195,10,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.92x33_ap,6,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,8,1
ammo_9x19_ap,8,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,8,1
batteries_dead,5,1
bolts_pack,2,1
broken_detector,1,1
c-more,1,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
d0cter,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
e0t2,1,1
eot,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
gee36,1,1
hco,1,1
he510,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
kurtz,1,1
lco1,1,1
mag_1921_11.43x23_default,1,1
mag_ak_5.45x39_default,2,0.75
mag_ak_5.56x45_modern,1,1
mag_ak_7.62x39_default,2,0.75
mag_aug_5.56x45_default,1,1
mag_aug_9x19_default,2,1
mag_bas_sig226_9x19,2,1
mag_bas_sig226_9x19_extended,1,0.75
mag_basvz61_9x18_30,2,1
mag_beretta_9x19_default,2,1
mag_colt1911_default,2,1
mag_colt1911_extended,1,0.75
mag_coonan_357_default,2,1
mag_deserteagal_default,2,1
mag_fn57_default,2,1
mag_fnp45_default,2,1
mag_fort_9x18_default,2,1
mag_g36_5.56x45_default,1,1
mag_galil_7.62x51_default,2,0.75
mag_glock_9x19_default,2,1
mag_grot,1,1
mag_hinge_7.62x51_default,2,0.75
mag_m1a1_11.43x23_default,1,1
mag_mac10_9x19_ext,2,0.5
mag_mac10_9x19_standard,2,1
mag_mk23_45,2,1
mag_mp5_9x19_default,2,1
mag_mp9iwp,2,0.75
mag_mp9iwp_ext,1,0.5
mag_nato_5.56x45_default,1,1
mag_nato_5.56x45_fast,2,0.75
mag_nato_5.56x45_short,2,1
mag_ots_9x39_default,2,0.75
mag_pp2000_9x19_default,2,0.75
mag_px4_9x19_default,2,1
mag_sig_5.56x45_default,1,1
mag_sig_5.56x45_sniper,2,1
mag_sigp220_extended,1,0.75
mag_sks_7.62x39,2,0.75
mag_sr2m_9x21_veresk,2,1
mag_stanag_7.62x51_default,2,0.75
mag_stanag_7.62x51_short,3,0.75
mag_ump45_11.43x23_default,2,1
mag_usp_11.43x23_default,2,1
mag_uzi_9x19_default,2,0.75
mag_uzi_9x19_extended,2,0.75
mag_walther_9x19_default,2,1
mag_wp99_9x19_extended,1,0.75
mod9,1,1
romeo4,1,1
romeo8,1,1
side,1,1
side_saddle_rifle,1,1
side_saddle_shotgun,1,1
silen98,1,1
u2p2g0r,1,1
upg220,1,1
wpn_addon_scope_zf4,1,1
wpn_axe,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_sil_45,1,1
wpn_sil_9mm,1,1
wpn_sil_black_box,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_osp9,1,1
